"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4trials10kCtrl1NStartNoFragSooner.nlogo"
"experiments 2 seeds"
"02/19/2021 09:53:37:421 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"5","5","286","11395600","46749482","55101658","5","0","2","0","0","6","0","3","0","0","6","0","6","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","11","1","287","0","2","1","1"
"24","24","299","39912531","76719610","13592280","4","0","6","0","0","9","0","12","0","0","11","0","12","0","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","18","16","1","300","0","0","0","0"
"23","23","269","64906449","61082360","71600702","4","0","4","0","0","27","14","17","5","0","28","14","18","5","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","33","20","1","270","0","0","0","2"
"8","8","332","87143558","30513963","31823795","13","11","9","4","0","44","11","72","4","0","46","11","78","4","0","50","11","80","4","0","0","0","0","0","0","0","0","0","0","0","50","80","0","333","0","0","1","2"
"2","2","274","821528","85052747","79039483","32","9","50","3","0","169","36","267","13","2","183","37","301","15","2","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","202","305","4","275","0","0","6","5"
"9","9","343","52225802","10416085","15795628","13","0","7","0","0","96","6","108","4","1","99","6","118","4","1","109","6","131","4","2","0","0","0","0","0","0","0","0","0","0","110","131","3","344","0","2","2","3"
"21","21","420","66383352","97632641","44435694","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","32","0","20","0","0","0","0","0","0","0","0","0","0","0","0","35","22","0","421","0","0","0","0"
"18","18","468","57167994","65638743","87085666","19","1","50","0","0","70","18","135","1","1","72","18","142","1","1","212","18","399","1","1","0","0","0","0","0","0","0","0","0","0","212","399","1","469","1","1","2","4"
"28","28","270","97526189","36517817","29959085","3","0","4","0","0","11","0","16","0","0","11","0","19","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","20","0","271","0","1","0","2"
"10","10","395","22141847","5084778","99092997","28","1","78","0","0","219","20","390","7","5","310","20","554","7","6","476","50","727","13","7","0","0","0","0","0","0","0","0","0","0","487","732","7","396","0","0","6","6"
