"BehaviorSpace results (NetLogo 6.1.2-beta2)"
"SIsaR_0.9.5.2TRIALS_wave2BchangeWorld.nlogo"
"experiments 2 seeds"
"12/09/2020 20:41:49:228 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"4","4","43","85501717","66634576","1","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1","2","0","44","0","0","0","1"
"5","5","48","11395600","46749482","5","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","6","3","0","49","0","0","0","0"
"2","2","217","821528","85052747","32","9","50","3","0","169","36","267","13","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","177","295","2","218","0","0","5","6"
"3","3","315","78358869","32456856","6","0","7","0","0","112","0","218","0","3","335","22","652","4","6","363","22","686","4","6","0","0","0","0","0","0","0","0","0","0","363","686","6","316","0","0","4","6"
"1","1","374","88938869","24928751","19","2","67","0","0","233","21","383","3","3","409","21","740","3","7","452","21","809","3","7","0","0","0","0","0","0","0","0","0","0","452","809","7","375","0","1","4","9"
"7","7","262","31237349","43833024","4","0","2","0","0","80","0","172","0","0","147","0","304","0","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","147","305","1","263","0","0","4","1"
"6","6","355","63287122","69609210","29","0","43","0","0","322","50","342","11","11","409","50","511","11","13","471","50","656","11","14","0","0","0","0","0","0","0","0","0","0","474","656","14","356","0","0","9","7"
"8","8","168","87143558","30513963","13","11","9","4","0","44","11","72","4","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","46","76","0","169","0","0","0","1"
"11","11","143","7201771","47190765","6","0","5","0","0","18","0","12","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","18","13","0","144","2","0","0","1"
"9","9","182","52225802","10416085","13","0","7","0","0","96","6","108","4","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","96","111","1","183","0","1","1","2"
"13","13","120","44009159","8964737","3","0","0","0","0","16","0","8","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","16","8","0","121","0","0","0","0"
"15","15","84","66508631","45421485","4","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","23","14","0","85","0","0","1","0"
"16","16","85","71489839","80162375","3","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","14","0","86","1","0","1","0"
"10","10","260","22141847","5084778","28","1","78","0","0","219","20","390","7","5","279","20","515","7","6","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","281","516","6","261","0","0","4","5"
"14","14","295","58696853","66116717","16","10","8","1","0","75","27","59","9","1","127","27","180","9","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","139","194","2","296","2","2","2","4"
"18","18","111","57167994","65638743","19","1","50","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","70","135","1","112","0","0","1","1"
