"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2TRIALS.nlogo"
"experiments 2 seeds"
"08/27/2020 00:27:22:559 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"2","324","1757","4683","27","13","41","7","1","120","23","224","10","1","140","23","299","10","1","146","23","309","10","1","149","310","1","325","1","0","5","4"
"1","387","787683","790321","11","0","11","0","0","66","0","177","0","0","229","0","523","0","4","261","0","589","0","4","271","616","4","388","0","0","2","9"
"4","208","842394","844040","29","0","79","0","2","104","0","376","0","3","164","0","552","0","3","-1","-1","-1","-1","-1","164","552","3","209","0","0","3","2"
"3","392","41907","43373","7","0","20","0","0","56","0","278","0","0","134","0","436","0","1","152","0","519","0","1","200","605","1","393","1","1","0","6"
"5","200","871862","873110","6","0","6","0","0","25","0","75","0","0","33","0","87","0","0","-1","-1","-1","-1","-1","33","87","0","201","0","0","0","0"
"7","85","887794","888993","3","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","4","0","86","0","0","0","0"
"6","249","89602","90975","39","31","19","12","0","87","43","157","15","0","130","43","309","15","0","-1","-1","-1","-1","-1","133","314","0","250","0","0","2","5"
"8","278","893675","894913","6","0","17","0","0","54","0","185","0","0","140","0","461","0","0","158","0","486","0","0","158","486","0","279","0","0","3","7"
"10","68","935189","936424","3","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","2","0","69","0","0","0","0"
"9","322","117763","121714","10","0","9","0","0","126","0","257","0","1","403","6","767","3","1","450","33","800","9","3","454","804","5","323","0","0","11","25"
"12","302","178831","181386","5","0","6","0","0","16","0","52","0","0","46","0","200","0","0","116","0","366","0","2","120","372","2","303","0","0","3","4"
"13","63","213230","214579","0","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","6","0","64","0","0","0","0"
"11","506","940879","942102","38","5","133","4","0","124","9","382","4","3","274","9","659","4","4","301","9","688","4","5","315","705","5","507","0","0","4","15"
"15","481","1006657","1007951","0","0","4","0","0","64","0","179","0","0","193","0","545","0","1","234","0","612","0","1","273","699","2","482","0","0","1","12"
"14","516","219650","221468","9","0","7","0","0","67","0","161","0","2","141","0","295","0","3","249","0","444","0","5","376","763","7","517","0","0","9","11"
"17","26","281396","282696","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","3","0","27","0","1","0","1"
"18","232","284703","285986","9","0","7","0","0","16","0","18","0","0","21","0","25","0","0","-1","-1","-1","-1","-1","21","26","0","233","0","0","0","1"
