"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2TRIALS_wave2.nlogo"
"experiments 2 seeds"
"11/27/2020 01:13:26:794 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"3","55","2232","5847","1","0","3","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","3","1","56","0","0","0","0"
"2","93","3709","7409","4","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","10","0","94","0","0","0","1"
"1","143","205981","209694","39","4","131","0","0","151","36","237","6","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","154","239","2","144","0","0","3","3"
"5","142","21372","23218","22","15","7","2","0","28","15","19","2","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","28","20","0","143","0","0","0","0"
"6","70","238244","239965","18","12","5","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","27","9","1","71","0","0","0","0"
"4","246","17073","18860","39","6","139","3","0","161","23","256","9","3","218","23","404","9","4","-1","-1","-1","-1","-1","219","407","4","247","0","0","1","2"
"7","267","36399","38000","46","5","121","0","1","208","24","324","8","2","235","39","373","13","2","245","39","398","13","2","245","398","2","268","0","0","4","11"
"10","108","77515","79110","2","0","11","0","0","12","0","26","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","12","26","0","109","0","0","1","0"
"11","164","87387","88909","5","0","6","0","0","18","0","23","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","18","27","0","165","0","0","0","2"
"8","251","246932","248579","21","0","16","0","2","348","1","339","0","8","649","53","922","9","15","-1","-1","-1","-1","-1","667","936","16","252","0","0","5","22"
"12","195","103688","105606","5","0","9","0","0","73","0","143","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","85","151","0","196","1","0","0","3"
"14","121","127919","129376","10","1","16","0","0","37","12","38","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","37","38","0","122","0","0","0","0"
"9","596","59266","60843","9","3","6","1","0","31","12","19","2","1","66","12","97","2","2","107","12","158","2","3","348","614","7","597","3","3","5","6"
"16","136","142020","143603","12","9","9","5","1","44","41","32","18","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","45","33","3","137","0","1","0","2"
"13","298","313574","315127","10","1","16","0","0","127","10","208","1","2","272","28","423","10","3","301","40","446","12","4","301","447","4","299","0","0","1","5"
"18","20","360120","361774","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","2","0","21","0","0","0","2"
"17","41","156352","158085","2","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","2","0","42","0","0","0","0"
"19","97","364027","365570","5","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","11","10","0","98","0","0","0","0"
"20","89","162162","163698","6","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","11","8","0","90","0","0","0","0"
"21","78","373212","374733","7","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","6","0","79","0","0","0","0"
"15","364","139823","141326","15","0","20","0","1","129","0","184","0","6","212","0","365","0","7","285","18","518","7","10","296","536","11","365","1","1","1","6"
"24","27","191683","193153","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","3","0","28","0","0","0","0"
"25","73","196155","197698","5","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","6","0","74","0","0","0","0"
"22","216","170577","172117","6","0","6","0","0","86","0","294","0","3","133","0","338","0","4","-1","-1","-1","-1","-1","134","338","4","217","0","0","1","3"
"27","42","202633","204129","3","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","3","0","43","0","0","0","0"
"28","99","208380","209972","23","17","21","4","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","76","36","3","100","1","1","0","1"
"29","65","219515","221096","2","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","3","0","66","0","0","0","0"
"23","239","381122","382710","56","17","153","2","0","285","48","444","11","4","415","48","748","11","6","-1","-1","-1","-1","-1","417","752","6","240","0","0","8","10"
"26","339","203676","205221","13","0","14","0","0","86","0","157","0","1","186","0","438","0","3","208","0","471","0","3","213","478","3","340","0","0","2","7"
"30","158","226162","227700","49","2","145","0","0","233","21","377","6","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","235","385","2","159","0","0","1","5"
"33","112","254226","255787","4","0","4","0","0","10","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","6","0","113","0","0","0","0"
"34","96","263947","265426","4","0","11","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","20","0","97","0","0","0","0"
"35","74","272572","274116","8","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","6","1","75","0","0","1","0"
"31","391","431671","433482","28","14","18","3","0","101","14","102","3","0","380","14","648","3","3","527","14","867","3","3","568","905","4","392","2","3","7","12"
"32","356","248981","250423","32","2","102","0","0","232","50","295","13","0","328","50","430","13","1","435","50","712","13","2","476","741","2","357","0","0","7","7"
"36","348","281628","283979","24","11","13","1","0","74","22","46","2","0","114","22","161","2","0","170","22","299","2","2","203","337","3","349","0","0","3","2"
"38","258","310412","311889","112","37","174","9","2","401","65","519","19","10","485","65","683","19","10","489","65","693","19","10","489","693","10","259","0","0","8","13"
"39","251","325252","326795","61","19","121","11","0","142","35","195","17","2","199","35","339","17","3","-1","-1","-1","-1","-1","201","342","3","252","0","0","1","8"
"40","118","360781","362243","6","1","13","1","0","38","24","27","9","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","39","28","1","119","0","2","0","1"
"42","78","372025","373514","0","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","4","0","79","0","0","0","0"
"37","438","509527","511044","14","0","12","0","0","33","0","35","0","1","92","0","178","0","2","379","26","627","9","7","525","860","11","439","5","3","9","18"
"43","64","379686","381222","7","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","1","0","65","0","0","0","0"
"45","124","386427","387914","42","5","117","0","0","154","57","188","13","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","154","190","1","125","0","0","0","3"
"41","303","362652","364126","23","3","28","1","0","183","47","217","15","7","275","47","394","15","8","348","61","450","17","10","350","457","10","304","0","0","5","7"
"46","106","405376","406871","8","0","15","0","0","10","0","25","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","25","0","107","1","1","0","1"
"47","126","409938","411487","3","0","8","0","0","17","0","20","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","17","20","1","127","0","0","1","0"
"44","269","586050","587559","55","18","103","3","1","183","48","217","10","6","248","48","362","10","7","257","48","371","10","7","257","371","7","270","0","0","1","9"
"48","339","414743","416230","24","10","17","2","0","61","21","49","6","2","187","21","389","6","2","297","32","529","9","3","306","544","3","340","0","0","2","5"
"50","304","626717","628189","18","0","40","0","0","109","19","193","8","0","164","19","370","8","0","181","19","383","8","0","182","383","0","305","1","1","1","4"
"51","65","464219","465707","7","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","4","0","66","0","0","0","1"
"53","277","470728","472168","6","0","4","0","0","56","0","74","0","1","156","7","288","7","1","165","7","298","7","1","165","298","1","278","0","0","0","5"
"49","731","421253","422695","10","0","10","0","0","41","0","57","0","0","91","0","246","0","0","144","0","332","0","3","318","655","5","732","0","1","2","6"
"52","392","669355","670836","8","0","11","0","1","44","0","68","0","1","163","0","361","0","3","243","0","515","0","6","268","541","6","393","1","3","3","7"
"56","14","726243","728016","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","2","0","15","0","0","0","0"
"57","134","729701","731136","6","0","17","0","0","21","0","26","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","21","27","0","135","0","2","1","1"
"58","22","742584","744047","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","2","0","23","0","0","0","0"
"54","283","507304","508766","80","12","202","5","2","286","45","395","9","6","322","45","518","9","7","337","45","540","9","8","338","541","8","284","0","0","8","4"
"60","77","552548","553968","5","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","4","0","78","0","0","0","0"
"59","102","746595","748211","34","3","110","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","144","191","2","103","0","0","1","0"
"55","333","517460","518957","7","0","7","0","0","29","0","42","0","0","102","0","202","0","1","191","0","403","0","5","201","410","6","334","1","2","2","5"
"62","21","762684","764208","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","0","22","0","0","0","1"
"64","251","766537","768053","21","8","13","2","0","69","11","144","2","0","129","11","211","2","0","-1","-1","-1","-1","-1","135","215","0","252","0","0","2","3"
"65","58","801544","803062","16","13","9","5","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","12","0","59","0","2","0","1"
"61","280","560019","561532","88","25","156","7","0","271","45","424","13","5","358","46","608","13","6","421","53","714","15","7","421","717","7","281","0","0","2","12"
"63","352","561608","563116","61","9","127","3","0","255","39","293","14","3","281","39","360","14","3","329","39","517","14","4","362","560","5","353","1","3","3","16"
"68","87","612924","614430","9","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","19","9","0","88","0","0","1","0"
"69","85","621292","622814","3","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","17","0","86","0","2","0","1"
"70","89","629534","631085","5","0","9","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","19","0","90","0","0","0","0"
"66","272","808623","810166","13","0","17","0","1","145","9","213","4","5","202","9","319","4","6","206","9","323","4","6","206","323","6","273","0","0","0","8"
"72","78","847153","848685","3","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","7","0","79","0","0","0","0"
"67","349","612678","614222","6","0","10","0","0","30","0","54","0","0","83","0","151","0","0","197","0","405","0","3","223","425","3","350","0","0","4","3"
"74","75","658110","659568","3","0","9","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","12","0","76","0","2","0","1"
"75","133","665770","667267","61","11","162","1","0","242","59","283","11","9","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","242","284","9","134","0","0","4","6"
"71","305","637869","639575","16","7","14","2","0","138","19","220","2","3","341","19","578","2","3","380","19","605","2","4","382","607","4","306","0","0","5","12"
"77","279","687442","688980","9","0","11","0","0","43","0","71","0","2","206","0","459","0","5","220","0","480","0","6","220","480","6","280","0","0","3","4"
"76","384","688499","689971","63","24","147","10","0","236","44","269","15","6","282","44","420","15","6","336","44","505","15","6","385","572","7","385","3","7","5","15"
"78","118","729641","731133","40","14","107","2","1","104","16","161","3","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","104","161","3","119","0","0","0","0"
"73","670","855356","856878","2","0","6","0","0","44","0","63","0","0","152","0","304","0","3","208","0","385","0","5","423","709","6","671","0","1","3","13"
